,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.01470789909362793,0.003708343199853045,0.48087143898010254,0.06261037281619804,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",-0.05169570250314612,-0.05206030355753027,-0.04918468424735411,-0.05172083883136262,-0.0524496367963115,-0.05142223318714092,0.0011518044998352819,14,-0.025871975168844725,-0.02576394600393346,-0.0264470537262663,-0.025881767276311838,-0.026002372907840493,-0.02599342301663936,0.00023905530937906884
1,0.012429189682006837,0.0009850560297162505,0.3889249324798584,0.008777474946085164,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",-0.05126915892543585,-0.05165719194171629,-0.04875413745001832,-0.05133512777742933,-0.052127333615264546,-0.05102858994197287,0.0011770599944105596,13,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2,0.012421369552612305,0.001475476356428182,0.361820650100708,0.03411805167885258,4,uniform,"{'n_neighbors': 4, 'weights': 'uniform'}",-0.05071294420372513,-0.05009670332632877,-0.04568694854640031,-0.04792548325472375,-0.05033365570293758,-0.048951147006823105,0.0018991859656389846,12,-0.02899542810166747,-0.029068868086515275,-0.029113813507390708,-0.028923224348378424,-0.028655169507235123,-0.028951300710237403,0.0001616550001482727
3,0.01262040138244629,0.0008890295303750943,0.4300676345825195,0.04238958166790504,4,distance,"{'n_neighbors': 4, 'weights': 'distance'}",-0.0501364548919202,-0.049592603550843835,-0.04515991491956001,-0.047514133997328505,-0.04991534050406459,-0.048463689572743426,0.0018971802106924614,11,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4,0.01249556541442871,0.0003636898430625281,0.38773236274719236,0.011185401478338512,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",-0.04924009672402176,-0.048163513406252995,-0.04385972308287252,-0.04716009595207193,-0.047263489717309926,-0.04713738377650582,0.001801878016432302,10,-0.030655254639207104,-0.030909529445604086,-0.03152311024129797,-0.031231280994157666,-0.031100768126706924,-0.03108398868939475,0.00029293453993651505
5,0.012751197814941407,0.0006740899117096339,0.4159752368927002,0.0213972153999248,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",-0.04859527622408911,-0.04763977108986499,-0.04335164301809333,-0.046651931049855724,-0.046865648285806034,-0.04662085393354184,0.0017711671645898421,9,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
6,0.014582300186157226,0.0025913972100510946,0.4521914482116699,0.021428375924755685,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",-0.04665559738533417,-0.04572744927848178,-0.04156665805863727,-0.04452328920976583,-0.0456194978578864,-0.04481849835802109,0.0017609280839747964,8,-0.033134017012300315,-0.03332855881617446,-0.03443658465447802,-0.03358296067484391,-0.033774741931302324,-0.03365137261781981,0.00044907097369101533
7,0.012330389022827149,0.0007884856260242056,0.40950736999511717,0.02421090882905558,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",-0.04599616726161414,-0.04520308644277837,-0.040988990398156164,-0.04401338954586767,-0.04510428790922742,-0.044261184311528756,0.0017536718273949462,4,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
8,0.01360626220703125,0.0014507637078165824,0.5602974414825439,0.15337909028074065,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",-0.04624784300219687,-0.045150767391396576,-0.04136333725042943,-0.0446183679508758,-0.04535662782497777,-0.04454738868397529,0.0016765261899566875,6,-0.03401460858331775,-0.034323872283235295,-0.03532390112632311,-0.034419094818654634,-0.034632598855885044,-0.034542815133483167,0.00043826961853011913
9,0.013776445388793945,0.0011030631693361265,0.6871625423431397,0.032405866388222286,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",-0.045542051346883924,-0.044599995084073245,-0.04077002523925831,-0.0440593594819026,-0.04479789720236808,-0.04395386567089722,0.0016613353077808625,3,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
