,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epsilon,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,168.35266489982604,1.1990053192329069,8.450721836090088,0.41155750914530653,0.001,linear,"{'epsilon': 0.001, 'kernel': 'linear'}",-0.0057547474326582375,-0.0058590935817967905,-0.0057971368947583105,-0.0055101930206016255,-0.005562568196608332,-0.0056967478252846595,0.00013609183097071834,4,-0.00424095182733444,-0.004200064023166734,-0.004251871323074061,-0.0043216875383294455,-0.004277176468380087,-0.0042583502360569545,4.026910586353046e-05
1,82.66400575637817,1.5328283219349785,8.499863767623902,0.377189469780932,0.001,poly,"{'epsilon': 0.001, 'kernel': 'poly'}",-0.011652406179076646,-0.011377851698517679,-0.011712458592271324,-0.014006216975360235,-0.013262902447166899,-0.01240236717847856,0.0010393173188434572,7,-0.0006186254749994217,-0.0006698493149619088,-0.000657407313085391,-0.0006444681170699419,-0.000635591017043945,-0.0006451882474321217,1.7639048247120978e-05
2,70.63485865592956,1.5548107240116305,14.263021516799927,0.27852923855409645,0.001,rbf,"{'epsilon': 0.001, 'kernel': 'rbf'}",-0.0058775259196016776,-0.005696567624546418,-0.0054037768755043755,-0.00527365996418488,-0.005444451406125733,-0.005539196357992617,0.0002177416939280969,1,-0.000188317109044408,-0.0001981602987092036,-0.0002034060891672212,-0.00019626433888260116,-0.00020916822873395235,-0.00019906321290747727,7.0014229575594455e-06
3,147.23482103347777,4.722272852011159,7.645966958999634,0.18653269357706087,0.01,linear,"{'epsilon': 0.01, 'kernel': 'linear'}",-0.0056695429897433945,-0.005722587957763267,-0.005683217380754359,-0.00538330939074089,-0.005450209122115648,-0.0055817733682235115,0.00013749199538846252,3,-0.004151872096725455,-0.004119683745527775,-0.004158955757442982,-0.0042256532401364864,-0.004202941267576943,-0.0041718212214819275,3.7810442059667164e-05
4,55.58117022514343,10.639504325023742,7.6814545631408695,0.14868111763137037,0.01,poly,"{'epsilon': 0.01, 'kernel': 'poly'}",-0.01163794077019754,-0.011394290219381152,-0.01171557536425238,-0.014041068694732466,-0.013230662859785313,-0.01240390758166977,0.0010434226771604013,8,-0.0007004060723975635,-0.0007499872148678049,-0.0007407546448281291,-0.0007285103561056962,-0.0007184220399104992,-0.0007276160656219386,1.7313602615635203e-05
5,35.380375385284424,1.7852243502366496,12.25891900062561,0.1444002709954123,0.01,rbf,"{'epsilon': 0.01, 'kernel': 'rbf'}",-0.005904375352980181,-0.005732075806277731,-0.005450099268192243,-0.005303579878417883,-0.005486286976158636,-0.005575283456405335,0.00021461575251401852,2,-0.0002599931552236349,-0.0002694617650449943,-0.00027627194147082564,-0.00026906775148357795,-0.0002795143429817452,-0.0002708617912409556,6.744512999679571e-06
6,39.605021953582764,1.4390403747682974,1.5631038665771484,0.02869858206276765,0.1,linear,"{'epsilon': 0.1, 'kernel': 'linear'}",-0.006681887271558917,-0.006402971117897896,-0.006327948166355207,-0.006267583797032323,-0.00635330182779496,-0.00640673843612786,0.000144324956697373,5,-0.004635384173816884,-0.0045708937207588375,-0.004569732403058357,-0.004634539113976837,-0.00461741773180167,-0.004605593428682517,2.9513516313301466e-05
7,13.757815265655518,0.35996012021285995,2.8717783451080323,0.10319172421051805,0.1,poly,"{'epsilon': 0.1, 'kernel': 'poly'}",-0.013961664147661437,-0.014072269743247484,-0.014598410150785975,-0.01702993603565504,-0.01584880647823657,-0.0151022173111173,0.0011737947036364147,9,-0.005793012807715725,-0.005891656930881295,-0.005843474237275608,-0.005824772978880845,-0.005854530027749297,-0.005841489396500554,3.261961814724616e-05
8,8.245481824874878,0.30461144597502976,3.0836071491241457,0.08939059212117388,0.1,rbf,"{'epsilon': 0.1, 'kernel': 'rbf'}",-0.008005133197280415,-0.0074756161480828065,-0.007459098433664971,-0.0074577440748663255,-0.007314941320024741,-0.007542506634783852,0.00023850587648842637,6,-0.0042629699066903445,-0.004304081089358309,-0.004354057741940597,-0.004362980290448085,-0.004307017916348526,-0.004318221388957172,3.651245163432798e-05
9,0.25505542755126953,0.01499929928997959,0.040154027938842776,0.0023287613447274453,1,linear,"{'epsilon': 1, 'kernel': 'linear'}",-0.2944647566979718,-0.28616958452290664,-0.291644926466671,-0.29105073575801993,-0.28440366239015513,-0.2895467331671449,0.003706958439144104,12,-0.2927273126829771,-0.2930971248926234,-0.28518679367005145,-0.29181440272165216,-0.2845978414001481,-0.28948469507349045,0.0037774343457897303
10,0.2870053291320801,0.02105419458574023,0.04155998229980469,0.002523891701931663,1,poly,"{'epsilon': 1, 'kernel': 'poly'}",-0.27683874624614546,-0.26287151361309047,-0.2670110222515914,-0.25760763046372576,-0.25201094098070237,-0.2632679707110511,0.00845096126786801,10,-0.2710249556983354,-0.27108078691412285,-0.2616800859057735,-0.2603930063000361,-0.24845411371209772,-0.2625265897060731,0.00835104594464787
11,0.3074673652648926,0.010305519962733664,0.07147378921508789,0.00606815589248127,1,rbf,"{'epsilon': 1, 'kernel': 'rbf'}",-0.2728696296129873,-0.26536526481126965,-0.2723650582080934,-0.26924658999571477,-0.26276238952936665,-0.2685217864314864,0.0039327878127747564,11,-0.26986392632058764,-0.2722100372005957,-0.2649612849701394,-0.2692630023142894,-0.2635081471284895,-0.2679612795868203,0.003231001216492912
