,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,23.17056179046631,0.4570949689030659,0.012461280822753907,0.004622390779320606,squared_error,10,"{'criterion': 'squared_error', 'n_estimators': 10}",-0.04898656360846181,-0.049236187221149745,-0.041487048735733584,-0.04551398835677996,-0.04693876359372861,-0.046432510303170735,0.00282635304312383,10,-0.008604458303245644,-0.008975524218089549,-0.00893930794964866,-0.008707441926586613,-0.008701326000885192,-0.00878561167969113,0.0001454100735090851
1,34.57370853424072,0.434657801062831,0.013566398620605468,0.0009837584710168314,squared_error,15,"{'criterion': 'squared_error', 'n_estimators': 15}",-0.04585425083755893,-0.0450243553383394,-0.03935367605094774,-0.04305907534259659,-0.04428455134765502,-0.04351518178341954,0.002274508361471977,7,-0.007576865959576636,-0.007714869494226758,-0.007489123444472906,-0.007424448782704497,-0.0076584526864841495,-0.00757275207349299,0.00010634518705824319
2,45.79902620315552,0.48262166492938974,0.016162109375,0.00042980095969118854,squared_error,20,"{'criterion': 'squared_error', 'n_estimators': 20}",-0.04571703196167731,-0.04398765822376676,-0.03854721074991407,-0.04112642314088507,-0.04303039030133952,-0.04248174287551655,0.002463871958339889,6,-0.006942458683144777,-0.007131238084580143,-0.007201303847998829,-0.006964620217576017,-0.006852156593850942,-0.007018355485430142,0.00012843866997760183
3,54.58455095291138,2.1824668609748827,0.020402908325195312,0.003408062694860711,squared_error,25,"{'criterion': 'squared_error', 'n_estimators': 25}",-0.043663172568215926,-0.04300730172922098,-0.0388943134345157,-0.041582246489784806,-0.04286181302496516,-0.04200176944934052,0.0016937126579753172,4,-0.0066674833191133894,-0.0066982743961060635,-0.006751110031356725,-0.006812843578766151,-0.006926310576488014,-0.006771204380366068,9.194822340042989e-05
4,64.92748847007752,0.6293134052084248,0.021346378326416015,0.0019283941203371332,squared_error,30,"{'criterion': 'squared_error', 'n_estimators': 30}",-0.04393193704205981,-0.04247225941180609,-0.038454824523852744,-0.04062776396840503,-0.0418082605125748,-0.0414590090917397,0.001842830365852604,1,-0.0063813787147928526,-0.00644234853503561,-0.0064653939736121,-0.006450456379925509,-0.006430363760349641,-0.006433988272743142,2.866465860482116e-05
5,22.367560386657715,0.2683095556762984,0.009829568862915038,0.0006717562234398938,friedman_mse,10,"{'criterion': 'friedman_mse', 'n_estimators': 10}",-0.04948784687015026,-0.04792199047520708,-0.04118131994659105,-0.0446648106811194,-0.04764639767395812,-0.04618047312940518,0.0029464997437436175,9,-0.0089608974813436,-0.008471799605075684,-0.00902352626615186,-0.008764053497062779,-0.008770624706216687,-0.008798180311170124,0.0001927205194119538
6,36.25126647949219,1.4891194850668656,0.015507173538208009,0.0027743875444535323,friedman_mse,15,"{'criterion': 'friedman_mse', 'n_estimators': 15}",-0.045375601213399806,-0.04483622575189536,-0.03911895307060487,-0.04456535863573745,-0.04443002459741713,-0.04366523265381093,0.002296100041131131,8,-0.0075264611797941135,-0.007833834062639294,-0.007736599389494052,-0.0078690981791388,-0.007662064069135081,-0.007725611376040269,0.00012338590671352428
7,54.01364130973816,12.619905284620247,0.034795188903808595,0.02449779345660493,friedman_mse,20,"{'criterion': 'friedman_mse', 'n_estimators': 20}",-0.04579441039988808,-0.04273984863197175,-0.039151550829488325,-0.04069890838670246,-0.043187576613650115,-0.04231445897234014,0.0022657159720959603,5,-0.006873319524891523,-0.006980198488693795,-0.00725567911197117,-0.007114782712793871,-0.007278628652287321,-0.007100521698127536,0.00015626758395882197
8,63.35091791152954,2.8755935330934568,0.03894562721252441,0.019287083649495555,friedman_mse,25,"{'criterion': 'friedman_mse', 'n_estimators': 25}",-0.04428758793571518,-0.042861621209115804,-0.03764574411425957,-0.04133665749131905,-0.04254873082329368,-0.04173606831474066,0.002250680924430184,3,-0.006524799309180853,-0.006744370892734452,-0.006702125477571112,-0.006655763082153379,-0.00663166041015005,-0.006651743834357969,7.43673216803406e-05
9,97.61966037750244,14.873478183524602,0.04033041000366211,0.01331587345027135,friedman_mse,30,"{'criterion': 'friedman_mse', 'n_estimators': 30}",-0.044232800892099355,-0.043153169359048435,-0.0383681553925924,-0.04013062999736637,-0.042586030248625485,-0.0416941571779464,0.0021389610163257073,2,-0.006261966956635343,-0.006658285596512678,-0.006482370424577971,-0.006480515892311325,-0.00657594862630523,-0.00649181749926851,0.00013254276247713192
